bookKey;bookTitle;year;annoKey;pageLabel;path;position;Column8;pageIndex;Rect;r0;r1;r2;r3
UJ9ZXK7A;Allgemeine Anatomie und Bewegungssystem;2022;97APU2KU;8;C:\Users\annik\Zotero\storage\GAIU8N8D\Buchscan_UJ9ZXK7A.pdf;"{""pageIndex"":7,""rects"":[[37.89,411.853,400.096,722.882]]}";Buchscan_UJ9ZXK7A.pdf;7;37.89,411.853,400.096,722.882;37.89;411.853;400.096;722.882
UJ9ZXK7A;Allgemeine Anatomie und Bewegungssystem;2022;99RSP7FC;8;C:\Users\annik\Zotero\storage\GAIU8N8D\Buchscan_UJ9ZXK7A.pdf;"{""pageIndex"":7,""rects"":[[29.507,71.963,397.449,391.853]]}";Buchscan_UJ9ZXK7A.pdf;7;29.507,71.963,397.449,391.853;29.507;71.963;397.449;391.853
UJ9ZXK7A;Allgemeine Anatomie und Bewegungssystem;2022;UDZNL354;9;C:\Users\annik\Zotero\storage\GAIU8N8D\Buchscan_UJ9ZXK7A.pdf;"{""pageIndex"":8,""rects"":[[305.243,103.11,553.625,411.934]]}";Buchscan_UJ9ZXK7A.pdf;8;305.243,103.11,553.625,411.934;305.243;103.11;553.625;411.934
UJ9ZXK7A;Allgemeine Anatomie und Bewegungssystem;2022;TPSGFST8;10;C:\Users\annik\Zotero\storage\GAIU8N8D\Buchscan_UJ9ZXK7A.pdf;"{""pageIndex"":9,""rects"":[[38.331,406.169,579.213,741.243]]}";Buchscan_UJ9ZXK7A.pdf;9;38.331,406.169,579.213,741.243;38.331;406.169;579.213;741.243
UJ9ZXK7A;Allgemeine Anatomie und Bewegungssystem;2022;3J8WNUDF;14;C:\Users\annik\Zotero\storage\GAIU8N8D\Buchscan_UJ9ZXK7A.pdf;"{""pageIndex"":13,""rects"":[[22.007,68.772,552.743,411.125]]}";Buchscan_UJ9ZXK7A.pdf;13;22.007,68.772,552.743,411.125;22.007;68.772;552.743;411.125
UJ9ZXK7A;Allgemeine Anatomie und Bewegungssystem;2022;5RAF338B;16;C:\Users\annik\Zotero\storage\GAIU8N8D\Buchscan_UJ9ZXK7A.pdf;"{""pageIndex"":15,""rects"":[[46.23076805701622,411.635,575.269,741.058]]}";Buchscan_UJ9ZXK7A.pdf;15;46.23076805701622,411.635,575.269,741.058;46.23076806;411.635;575.269;741.058
UJ9ZXK7A;Allgemeine Anatomie und Bewegungssystem;2022;2V9VQB7N;16;C:\Users\annik\Zotero\storage\GAIU8N8D\Buchscan_UJ9ZXK7A.pdf;"{""pageIndex"":15,""rects"":[[43.346,55.865,568.923,184.519]]}";Buchscan_UJ9ZXK7A.pdf;15;43.346,55.865,568.923,184.519;43.346;55.865;568.923;184.519
UJ9ZXK7A;Allgemeine Anatomie und Bewegungssystem;2022;YMDDABJ9;17;C:\Users\annik\Zotero\storage\GAIU8N8D\Buchscan_UJ9ZXK7A.pdf;"{""pageIndex"":16,""rects"":[[30.978,72.324,205.243,281.882]]}";Buchscan_UJ9ZXK7A.pdf;16;30.978,72.324,205.243,281.882;30.978;72.324;205.243;281.882
UJ9ZXK7A;Allgemeine Anatomie und Bewegungssystem;2022;CFSYIC4W;18;C:\Users\annik\Zotero\storage\GAIU8N8D\Buchscan_UJ9ZXK7A.pdf;"{""pageIndex"":17,""rects"":[[43.858,463.583,583.858,724.25]]}";Buchscan_UJ9ZXK7A.pdf;17;43.858,463.583,583.858,724.25;43.858;463.583;583.858;724.25
UJ9ZXK7A;Allgemeine Anatomie und Bewegungssystem;2022;5AFEPVPD;18;C:\Users\annik\Zotero\storage\GAIU8N8D\Buchscan_UJ9ZXK7A.pdf;"{""pageIndex"":17,""rects"":[[324.673,293.815,573.958,458.101]]}";Buchscan_UJ9ZXK7A.pdf;17;324.673,293.815,573.958,458.101;324.673;293.815;573.958;458.101
